rank,code,name,score,price,change_pct,support,resistance,position_pct,factors,indicators
1,300251 光线传媒,光线传媒,84.0,27.22,15.4,25.86,29.4,20,"{'momentum': 123.4, 'liquidity': 74.9, 'volatility': 51.8, 'strength': 50.3, 'ma_trend': 60, 'vol_ratio': 40, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 21.65, 'ema50': 20.56, 'k_fast': 79.1, 'd_fast': 68.7}"
2,300486 东杰智能,东杰智能,81.7,24.54,11.1,23.31,25.55,20,"{'momentum': 103.9, 'liquidity': 57.7, 'volatility': 50.7, 'strength': 49.3, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 22.47, 'ema50': 22.37, 'k_fast': 77.8, 'd_fast': 45.6}"
3,300812 易天股份,易天股份,81.5,41.76,20.0,39.67,41.76,20,"{'momentum': 144.4, 'liquidity': 55.5, 'volatility': 48.8, 'strength': 53.0, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 30}","{'ema20': 32.53, 'ema50': 31.62, 'k_fast': 100.0, 'd_fast': 89.6}"
4,300719 安达维尔,安达维尔,81.1,20.89,20.0,19.85,20.89,20,"{'momentum': 144.3, 'liquidity': 52.5, 'volatility': 51.9, 'strength': 48.3, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 30}","{'ema20': 18.23, 'ema50': 18.12, 'k_fast': 100.0, 'd_fast': 53.9}"
5,300369 绿盟科技,绿盟科技,80.8,10.86,9.5,10.32,11.73,20,"{'momentum': 96.6, 'liquidity': 56.9, 'volatility': 54.4, 'strength': 46.3, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 8.82, 'ema50': 8.58, 'k_fast': 75.1, 'd_fast': 78.4}"
6,300449 汉邦高科,汉邦高科,80.4,9.18,20.0,8.72,9.18,20,"{'momentum': 144.4, 'liquidity': 42.6, 'volatility': 54.6, 'strength': 45.7, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 30}","{'ema20': 7.7, 'ema50': 7.61, 'k_fast': 100.0, 'd_fast': 68.0}"
7,001330 博纳影业,博纳影业,79.7,12.77,5.9,12.13,13.72,20,"{'momentum': 80.3, 'liquidity': 67.9, 'volatility': 54.3, 'strength': 46.7, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 10.86, 'ema50': 10.37, 'k_fast': 79.8, 'd_fast': 79.3}"
8,603103 横店影视,横店影视,79.6,34.9,6.6,33.15,37.69,20,"{'momentum': 83.6, 'liquidity': 57.5, 'volatility': 51.4, 'strength': 52.7, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 30.22, 'ema50': 27.9, 'k_fast': 73.6, 'd_fast': 72.7}"
9,300065 海兰信,海兰信,79.3,28.81,6.9,27.37,31.11,20,"{'momentum': 84.9, 'liquidity': 74.7, 'volatility': 50.6, 'strength': 50.8, 'ma_trend': 60, 'vol_ratio': 40, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 26.53, 'ema50': 25.79, 'k_fast': 65.2, 'd_fast': 57.2}"
10,002467 二六三,二六三,79.2,7.53,5.3,7.15,7.87,20,"{'momentum': 77.7, 'liquidity': 65.3, 'volatility': 54.8, 'strength': 45.4, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 7.04, 'ema50': 6.94, 'k_fast': 79.1, 'd_fast': 72.5}"
11,601777 千里科技,千里科技,79.0,11.39,10.0,10.82,12.26,20,"{'momentum': 99.2, 'liquidity': 56.1, 'volatility': 53.6, 'strength': 46.3, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 70, 'stochastic': 55}","{'ema20': 10.74, 'ema50': 10.84, 'k_fast': 62.3, 'd_fast': 27.7}"
12,001210 金房能源,金房能源,78.5,24.1,7.5,22.89,25.28,20,"{'momentum': 87.8, 'liquidity': 42.7, 'volatility': 50.6, 'strength': 49.3, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 23.35, 'ema50': 23.2, 'k_fast': 62.4, 'd_fast': 37.5}"
13,300567 精测电子,精测电子,78.5,141.13,6.4,134.07,152.42,20,"{'momentum': 82.8, 'liquidity': 69.6, 'volatility': 25.8, 'strength': 78.5, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 70, 'stochastic': 55}","{'ema20': 134.85, 'ema50': 135.86, 'k_fast': 60.7, 'd_fast': 40.1}"
14,002843 泰嘉股份,泰嘉股份,78.4,20.85,10.0,19.81,22.52,20,"{'momentum': 99.1, 'liquidity': 49.1, 'volatility': 51.6, 'strength': 48.7, 'ma_trend': 60, 'vol_ratio': 60, 'ema_trend': 70, 'stochastic': 55}","{'ema20': 19.17, 'ema50': 19.47, 'k_fast': 71.7, 'd_fast': 38.2}"
15,603667 五洲新春,五洲新春,78.3,90.64,5.0,86.11,96.69,20,"{'momentum': 76.2, 'liquidity': 75.8, 'volatility': 35.9, 'strength': 65.4, 'ma_trend': 60, 'vol_ratio': 40, 'ema_trend': 80, 'stochastic': 55}","{'ema20': 84.79, 'ema50': 84.09, 'k_fast': 74.8, 'd_fast': 64.4}"
